AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvpEYIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpElIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpEsIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpKaIAJ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvpKgIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpOGIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpRjIAJ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvpU3IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpUFIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpUcIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpUvIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpV6IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpWPIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpZYIAZ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvpbzIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpdPIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpenIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpglIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvphCIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvptbIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvptoIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpuPIAR,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvpvDIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpwKIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpwsIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvpx9IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpxUIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvpxpIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvq3FIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvq5oIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvq6TIAR,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvqG9IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvqQAIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvqT3IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
