AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000XsUenIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeoIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUf1IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUfBIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUfaIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUfcIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUpiIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUpjIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUplIAF,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XsUppIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUpwIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUpzIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUq5IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUq6IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUq9IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
