Id,ContractNumber,AccountName,Status,StartDate,EndDate,CurrencyIsoCode,SBQQ__RenewalForecast__c,SBQQ__RenewalQuoted__c,SBQQ__RenewalOpportunity__c,Renewal_Deleted__c,SBQQ__ActiveContract__c,SBQQ__Opportunity__c,SBQQ__RenewalPricebookId__c,SBQQ__RenewalOwner,SBQQ__RenewalOpportunityRecordTypeId__c,SBQQ__DefaultRenewalContactRoles__c,CreatedDate,CreatedBy,LastModifiedDate,LastModifiedBy
"800Px00000awMhlIAE","00044367","Spencer Fane LLP","Activated","2026-04-06","2027-04-05","USD","true","true","","false","1","006Tm00000CcpgyIAB","01s4L000003PZwdQAG","Kamyar Jannati","0126g000000OhTGAA0","true","2026-04-14T16:54:39Z","Kamyar Jannati","2026-04-14T16:59:04Z","Saurabh Patil"
"800Px00000gBpILIA0","00047980","5 Stone Buildings Caribbean","Activated","2026-05-17","2027-05-16","GBP","true","true","","false","1","006Px00000TP0PBIA1","01sTm000001U0TRIA0","Elle Jeffs","0126g000000OhTGAA0","true","2026-08-06T13:18:11Z","Willie Guerrero","2026-08-13T18:27:20Z","Saurabh Patil"
"800Px00000ftJ44IAE","00047833","SAP SE","Activated","2026-07-31","2027-07-30","EUR","true","true","","false","1","006Tm00000GDMntIAH","01s6g000009ngSWAAY","Emma Cox","0126g000000OhTGAA0","true","2026-07-31T13:05:06Z","Kevin Daud","2026-08-13T18:27:20Z","Saurabh Patil"
"800Px00000g48oPIAQ","00047898","EZ Service S.r.l.","Activated","2026-09-01","2027-08-31","EUR","true","true","","false","1","006Tm00000HENarIAH","01s4L000003SaIoQAK","Matilda Scott-Bowden","0126g000000OhTGAA0","true","2026-08-04T10:41:47Z","Kevin Daud","2026-08-13T18:27:20Z","Saurabh Patil"
"800Px00000fyjE7IAI","00047867","Vivien Chan & Co","Activated","2026-09-23","2027-09-22","GBP","true","true","","false","1","006Px00000T08rJIAR","01s6g000009ngSUAAY","James Porteous","0126g000000OhTFAA0","true","2026-08-03T08:32:48Z","Nikita Jaiswal","2026-08-13T18:27:20Z","Saurabh Patil"
