LBR_Legal_Entity__c,StageName,CurrencyIsoCode,recs,sumAmount,sumACV
Law Business Research (UK) Ltd.,Closed Won,GBP,581,4355384,-2241.67
Law Business Research (UK) Ltd.,Closed Won,USD,3,19713,
Law Business Research (UK) Ltd.,Closed Lost,GBP,850,4466424.7,236649.67
Law Business Research (UK) Ltd.,Closed Lost,USD,8,11464.54,1077.79
Law Business Research (UK) Ltd.,Closed Won - Cancellation,GBP,10,-18635,
